pdbid,2019_general,2019_refined,2019_core,2018_general,2018_refined,2018_core,2017_general,2017_refined,2017_core,2016_general,2016_refined,2016_core,2015_general,2015_refined,2015_core,2014_general,2014_refined,2014_core,2013_general,2013_refined,2013_core,2012_general,2012_refined,2012_core,2007_general,2007_refined,2007_core,act,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1a4w,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.92,121.73,1954.2,7.0335,44.208,4.3474,13,3909,982,1439,89,1011,259,375,23,505,121,189,13,0,0,0,0,0,0,0,0,214,59,81,6,0,0,0,0,0,0,0,0,0,0,0,0
1a69,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,5.3,104.52,1275,5.9035,0,3.8123,2,1847,549,655,50,726,216,245,20,856,268,324,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a7x,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,9.7,152.87,2827.4,4.198,76.53,5.3216,12,6825,1550,2556,0,276,67,114,0,1922,438,682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a8i,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.52,93.056,1291.7,6.0406,0,6.7358,1,1475,469,731,6,341,113,171,0,1216,383,598,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a94,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.85,158.9,2898.8,8.2246,61.357,8.8379,28,5609,1548,1960,7,1425,391,498,3,1321,363,473,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a99,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.7,59.098,480.54,3.6718,27.178,3.0362,3,814,178,281,7,390,84,134,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a9m,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.92,119.21,2237.3,5.5268,42.93,5.607,18,4521,1285,1462,4,1045,312,340,3,985,283,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a9q,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,6.17,55.277,652.75,1.3605,0,2.5928,0,840,199,267,12,670,161,214,11,159,39,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aaq,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,8.4,110.9,2003.3,9.343,47.274,9.5156,18,4305,1185,1275,3,770,211,235,1,1038,280,313,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1abf,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,5.42,60.603,869.36,6.3266,4.8234,7.0103,0,1081,295,393,24,0,0,0,0,861,234,326,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1add,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.74,103.35,1370.7,5.4713,4.4021,5.8972,2,2148,555,692,40,759,205,257,15,763,182,233,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1adl,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,5.36,56.957,1317.9,1.9367,49.835,2.123,13,3105,857,1176,56,0,0,0,0,340,88,113,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ado,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6,61.533,660.23,2.6183,0,3.2647,4,403,122,202,1,0,0,0,0,878,262,422,5,0,0,0,0,163,47,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1af2,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,3.1,107.68,1359.1,5.6224,6.6081,6.8344,2,1783,489,531,35,395,107,121,8,1149,310,339,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1af6,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,1.82,87.979,1186.4,9.6338,0,9.9913,5,1819,514,814,0,0,0,0,0,1635,467,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1afk,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.62,112.04,1307.3,8.977,0,6.6562,8,1055,323,449,29,518,155,219,15,1282,418,514,20,0,0,0,0,305,105,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1afl,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.28,125.82,1391.3,19.582,0,7.8287,8,1064,330,491,29,525,158,244,15,1309,422,573,23,0,0,0,0,317,100,134,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1agm,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,12,145.26,2140.8,8.2703,15.286,10.659,9,3696,858,1395,0,210,49,67,0,2312,537,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ai4,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,2.5,54.681,828.65,2.3362,28.062,1.3252,1,1452,341,516,11,0,0,0,0,690,164,245,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ai5,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,3.72,64.205,912.9,2.772,34.204,1.2504,2,1416,338,526,11,192,44,71,2,677,165,252,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ai7,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.09,48.61,531.38,1.0691,38.576,0,0,1086,242,315,12,0,0,0,0,190,41,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aid,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.82,51.623,1291.5,0.66529,46.57,0,6,3086,791,1052,9,139,34,46,0,135,33,47,0,122,31,38,1,0,0,0,0,287,74,90,1,125,29,36,1,0,0,0,0,0,0,0,0
1aj6,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,5.92,93.429,1455.5,3.5257,32.243,1.7842,10,2826,861,1172,23,211,61,81,3,1169,344,443,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aj7,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,3.87,85.894,1242.9,3.4623,22.1,2.5415,7,1931,489,453,9,221,53,46,2,1183,285,276,7,0,0,0,0,183,46,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajn,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,2.63,54.895,923.13,2.464,32.59,1,2,1506,356,561,11,213,48,70,2,713,163,254,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajp,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,2.23,56.786,836.63,2.1459,21.22,1.4426,1,1498,354,524,12,0,0,0,0,669,157,246,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajq,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,4.31,63.703,669.02,2.9288,19.798,2.514,1,1114,268,366,11,0,0,0,0,333,82,111,3,0,0,0,0,0,0,0,0,186,42,60,1,0,0,0,0,0,0,0,0,0,0,0,0
1ajv,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.72,155.38,2378.8,6.317,85.729,6.2019,10,5372,1510,1817,5,393,116,138,0,1103,307,394,0,0,0,0,0,0,0,0,0,192,55,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajx,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.91,135.46,2282,4.0381,74.312,5.2153,10,5431,1499,1881,0,374,113,140,0,896,249,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1alw,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.52,30.084,593.38,0.44902,29.995,0,2,1227,289,250,0,0,0,0,0,241,62,50,0,0,0,0,0,0,0,0,0,98,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1amk,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,4.3,57.18,648.53,10.024,0,4.8324,2,345,88,128,2,0,0,0,0,970,252,368,6,0,0,0,0,167,42,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1amw,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.54,103.84,1594.9,9.5787,0,2.4582,6,1517,388,784,10,801,208,390,5,1282,325,700,10,0,0,0,0,260,63,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1apb,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,5.82,61.543,852.94,5.5345,4.1445,5.6227,0,1085,308,411,24,0,0,0,0,849,237,339,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1apv,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,9,129,1840.3,5.6234,40.568,9.1628,15,3493,854,1750,0,608,145,293,0,899,216,440,0,323,75,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1apw,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,True,8,126.65,1784.9,5.2162,40.63,8.1655,15,3473,852,1780,0,601,143,295,0,731,171,367,0,318,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1atl,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.28,104.56,1257.4,7.2569,12.173,3.2722,8,2171,601,794,31,131,37,53,1,507,141,189,8,0,0,0,0,0,0,0,0,123,35,43,2,0,0,0,0,0,0,0,0,0,0,0,0
1atr,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,6.96,154.77,1777.1,10.19,0,9.7573,6,1605,456,715,2,743,210,311,0,1608,475,777,9,0,0,0,0,326,99,162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1avn,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,3.9,16.871,352.42,2.8616,0,1,2,515,134,172,0,311,78,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1awi,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,4.05,132.68,2128,7.3944,52.63,5.1933,18,5368,1290,1323,56,1087,258,275,12,1185,281,296,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ax0,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,3.13,59.965,855.68,4.3103,3.4267,5.1514,3,1020,246,441,0,121,31,53,0,748,188,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1axz,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,True,3.2,52.457,705.96,3.3935,0,5.0092,1,775,182,314,0,0,0,0,0,712,172,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1azm,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,6.1,64.727,815.19,3.7361,5.9094,1.322,3,699,195,197,0,759,216,219,0,580,163,160,0,0,0,0,0,0,0,0,0,416,114,115,0,0,0,0,0,0,0,0,0,0,0,0,0
1b05,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.12,140.33,1733.7,9.3717,15.238,10.451,14,3029,778,1137,31,970,244,368,11,808,204,316,8,0,0,0,0,0,0,0,0,184,47,61,2,0,0,0,0,0,0,0,0,0,0,0,0
1b0h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.7,186.71,2379.4,11.719,66.766,11.773,15,4962,1272,1877,59,974,245,391,11,804,205,325,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b11,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,7.39,80.143,1580.2,5.1013,43.694,5.6278,13,3048,910,1115,40,434,125,156,5,680,192,243,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b1h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.03,187.63,2224.6,10.043,49.529,10.573,16,4345,1147,1822,38,970,252,413,11,811,210,350,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b2h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.54,154.96,1933,10.111,24.329,11.664,16,3426,890,1352,35,1145,294,456,12,821,205,336,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b32,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.1,159.32,1926.7,10.113,20.869,11.183,16,3412,887,1386,34,973,245,398,11,812,209,339,8,0,0,0,0,0,0,0,0,195,52,72,2,0,0,0,0,0,0,0,0,0,0,0,0
1b38,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.6,119.42,1950.8,10.182,0,10.193,8,1843,464,590,0,953,244,287,0,2262,545,784,0,0,0,0,0,542,127,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b39,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,6.92,123.4,1899.3,12.243,0,7.2393,8,1842,466,575,0,931,238,281,0,2251,558,760,0,0,0,0,0,535,137,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3f,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.89,163.57,2071.1,11.474,20.542,12.147,15,3612,940,1441,41,1357,346,534,16,808,205,339,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3g,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.7,149.74,1898.8,9.8458,33.851,11.042,15,3581,923,1408,37,976,248,384,11,800,202,326,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.21,163.85,2123.2,8.9468,40.458,9.9408,15,4100,1068,1635,40,971,248,396,11,809,207,330,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.89,121.11,1559.2,8.5003,14.866,10.772,14,2714,701,1017,29,918,230,342,11,760,200,289,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b40,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.28,161.02,2100.5,8.2132,47.841,10.408,15,4141,1055,1434,40,979,245,347,11,802,203,289,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b46,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.28,145.28,1874.4,8.0923,26.398,10.525,13,3428,874,1375,35,978,239,395,11,817,204,335,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b4h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.46,147.66,1846.9,10.657,19.91,11.177,15,3229,830,1284,33,1152,289,458,13,803,204,331,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b4z,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.23,154.92,1940.6,10.893,21.428,11.618,14,3218,814,1303,34,972,242,398,11,1176,302,477,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b51,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.37,138.57,1758.6,9.0402,14.304,10.354,14,3007,771,1211,31,969,243,388,11,990,247,398,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b52,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.12,138.59,1734.5,8.3153,18.704,10.808,14,3196,820,1148,33,964,245,349,11,963,247,371,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b55,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.4,114.18,1368.1,12.679,0,10.182,8,701,211,271,0,0,0,0,0,2140,611,753,0,0,0,0,0,492,138,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b57,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,8,94.394,776.82,11.631,0,11.007,4,340,108,150,4,169,51,74,2,992,304,428,9,0,0,0,0,163,50,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b58,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.59,172.49,2166.2,9.1389,41.369,11.17,15,4110,1066,1627,41,960,241,398,11,953,243,387,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b5h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.01,143.85,1781.3,10.483,15.42,10.545,14,3034,778,1230,31,1164,294,455,13,806,204,338,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b5i,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.05,145.38,1888.6,8.932,20.876,10.438,15,3216,825,1218,33,1149,291,437,13,995,254,389,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b5j,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.43,162.87,2011.9,11.139,27.333,11.852,16,3439,881,1412,35,1156,291,466,13,1006,259,421,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
