pdbid,2016_general,2016_refined,2016_core,2015_general,2015_refined,2015_core,2014_general,2014_refined,2014_core,2013_general,2013_refined,2013_core,2012_general,2012_refined,2012_core,2007_general,2007_refined,2007_core,act,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
1a4r,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.66,118.7,1291,5.8838,0,5.7871,26.175,234.85,0.2367,0,0,6,1284,326,392,20,790,201,242,14,1297,322,375,22,0,0,0,0,280,70,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a4w,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.92,121.73,1954.2,7.0335,44.208,4.3474,77.887,543.88,2.8052,33.576,0,13,3797,959,1422,77,968,250,368,21,493,119,187,12,0,0,0,0,0,0,0,0,211,58,80,6,0,0,0,0,0,0,0,0,0,0,0,0
1a69,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,5.3,104.52,1275,5.9035,0,4.8123,22.329,95.298,0.83223,0,0,2,1732,531,627,45,679,209,240,17,798,257,307,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a7x,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,9.7,152.87,2827.4,4.198,76.53,5.3216,144.72,1272.7,5.1791,66.828,0,12,6608,1528,2542,0,269,66,113,0,1868,429,678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a8i,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.52,93.056,1291.7,6.0406,0,7.7358,19.664,58.015,0.40048,0,0.12587,1,1445,455,730,6,330,108,171,0,1191,370,595,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a94,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.85,158.9,2898.8,8.2246,61.357,8.8379,114.93,834.78,12.155,16.246,2.0947,28,5491,1519,1946,7,1406,386,495,3,1300,359,470,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a99,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.7,59.098,480.54,3.6718,27.178,3.0362,0.0041974,3.8855,0,0,0,3,773,172,277,7,369,81,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a9m,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.92,119.21,2237.3,5.5268,42.93,5.607,86.135,489.32,4.5254,12.896,0.82905,18,4368,1261,1447,4,1032,310,340,3,966,280,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a9q,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,6.17,55.277,652.75,1.3605,0,2.5928,4.1704,3.5383,0,0,0,0,788,186,251,10,626,150,200,8,153,38,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aaq,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,8.4,110.9,2003.3,9.343,47.274,9.5156,50.39,416.27,1.0025,12.108,0,18,4244,1173,1267,3,757,208,234,1,1025,278,312,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1abf,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,5.42,60.603,869.36,6.3266,4.8234,7.0103,6.0437,7.1456,0.024106,0,0,0,1001,279,382,24,0,0,0,0,798,221,317,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1add,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.74,103.35,1370.7,5.4713,4.4021,5.1892,17.166,95.479,0.039237,0,0,2,2065,542,682,40,731,199,252,15,735,180,230,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1adl,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,5.36,56.957,1317.9,1.9367,49.835,2.123,23.141,176.06,0.47319,51.748,0,13,3096,856,1176,56,0,0,0,0,333,87,113,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ado,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6,61.533,660.23,2.6183,0,3.2647,4.947,15.823,0,0,0,4,388,117,196,0,0,0,0,0,845,256,410,0,0,0,0,0,158,46,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1af2,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,3.1,107.68,1359.1,5.6224,6.6081,6.8344,18.243,69.655,1.1732,0,0,2,1706,472,525,35,379,104,120,8,1114,301,336,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1af6,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,1.82,87.979,1186.4,9.6338,0,9.9913,31.031,172.36,0.44187,0,0,5,1702,492,805,0,0,0,0,0,1531,445,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1afk,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.62,112.04,1307.3,8.977,0,6.6562,32.022,314.52,0.58125,0,0,8,1029,320,440,29,496,153,214,15,1260,415,507,16,0,0,0,0,299,104,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1afl,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.28,125.82,1391.3,19.582,0,7.8287,46.426,329.1,4.3179,0,0,8,1001,322,473,29,470,151,231,15,1290,418,565,23,0,0,0,0,313,99,132,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1agm,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,12,145.26,2140.8,8.2703,15.286,10.659,64.709,484.7,2.2915,4,2.0202,9,3671,858,1395,0,210,49,67,0,2288,536,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ai4,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,2.5,54.681,828.65,2.3362,28.062,1.3252,4.5603,25.922,0.60517,0,0,1,1346,316,497,8,0,0,0,0,646,151,234,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ai5,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,3.72,64.205,912.9,2.772,34.204,1.2504,7.1812,35.391,0.30265,2,0,2,1333,325,514,8,177,42,68,1,636,157,241,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ai7,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.09,48.61,531.38,1.0691,38.576,0,0.79882,0.40832,0,0,0,0,979,228,298,6,0,0,0,0,170,39,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aid,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.82,51.623,1291.5,0.66529,46.57,0,23.715,187.33,0.24044,21.012,0.36223,6,2970,777,1035,9,134,34,46,0,127,32,46,0,114,30,37,1,0,0,0,0,275,72,89,1,125,29,36,1,0,0,0,0,0,0,0,0
1aj6,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,5.92,93.429,1455.5,3.5257,32.243,1.7842,81.107,594.5,4.5471,39.815,0,10,2777,838,1152,23,211,61,81,3,1159,339,440,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aj7,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,3.87,85.894,1242.9,3.4623,22.1,2.5415,9.1564,94.916,0.89564,0,0,7,1880,483,452,9,219,53,46,2,1162,284,275,7,0,0,0,0,176,45,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajn,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,2.63,54.895,923.13,2.464,32.59,1,10.77,34.21,0.73396,0,0,2,1361,333,528,8,184,43,65,1,652,152,240,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajp,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,2.23,56.786,836.63,2.1459,21.22,1.4426,7.3672,22.135,1.6354,1.9496,0,1,1414,343,508,12,0,0,0,0,642,151,236,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajq,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,4.31,63.703,669.02,2.9288,19.798,2.514,3.1352,7.4653,0.32295,0,0,1,1021,260,352,6,0,0,0,0,307,80,109,2,0,0,0,0,0,0,0,0,165,40,58,1,0,0,0,0,0,0,0,0,0,0,0,0
1ajv,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.72,155.38,2378.8,6.317,85.729,6.2019,56.825,586.83,3.2074,5.4144,0,10,5326,1499,1808,5,391,116,138,0,1093,305,392,0,0,0,0,0,0,0,0,0,192,55,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1ajx,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.91,135.46,2282,4.0381,74.312,5.2153,66.611,608.33,1.934,8.5704,0,10,5087,1442,1848,0,358,111,139,0,849,240,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1alw,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.52,30.084,593.38,0.44902,29.995,0,11.088,20.42,0.82773,2,0,2,1192,288,249,0,0,0,0,0,224,60,48,0,0,0,0,0,0,0,0,0,93,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1amk,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,4.3,57.18,648.53,10.024,0,6.0248,1.5539,10.595,0,0,0,2,329,88,126,2,0,0,0,0,934,250,365,6,0,0,0,0,161,42,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1amw,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.54,103.84,1594.9,9.5787,0,2.4582,42.818,238.28,1.5501,0,1.6827,6,1488,383,778,10,774,202,383,5,1281,325,699,10,0,0,0,0,260,63,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1apb,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,5.82,61.543,852.94,5.5345,4.1445,5.6227,3.9847,8.403,0,0,0,0,982,285,391,24,0,0,0,0,769,217,321,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1apv,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,9,129,1840.3,5.6234,40.568,9.1628,63.996,407.83,3.1852,16.471,1.695,15,3438,836,1739,0,601,141,291,0,886,211,438,0,323,75,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1apw,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,True,8,126.65,1784.9,5.2162,40.63,8.1655,59.96,393.39,1.9354,16.554,0,15,3390,819,1759,0,590,137,292,0,714,164,364,0,314,70,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1atl,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.28,104.56,1257.4,7.2569,12.173,3.2722,33.899,173.89,4.5758,5.83,0,8,2078,583,769,18,129,36,52,1,489,137,183,5,0,0,0,0,0,0,0,0,117,33,42,1,0,0,0,0,0,0,0,0,0,0,0,0
1atr,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,6.96,154.77,1777.1,10.19,0,9.7573,20.994,200.56,0.65685,0,0,6,1559,455,710,2,724,210,311,0,1542,467,767,9,0,0,0,0,312,96,160,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1avn,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,3.9,16.871,352.42,2.8616,0,1,0.5314,5.6522,0,0,0,2,498,133,172,0,301,78,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1awi,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,4.05,132.68,2128,7.3944,52.63,5.1933,131.15,962.82,16.99,7.9045,0.49005,18,5068,1230,1243,56,1029,248,261,12,1134,272,280,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ax0,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,3.13,59.965,855.68,4.3103,3.4267,5.1514,15.505,42.368,0.16032,0,0,3,985,241,432,0,113,30,51,0,727,186,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1axz,True,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,True,3.2,52.457,705.96,3.3935,0,5.0092,5.102,16.081,0.026229,0,0,1,763,182,313,0,0,0,0,0,700,172,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1azm,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,6.1,64.727,815.19,3.7361,5.9094,1.9198,3.9942,35.633,3.5213,0,0,3,673,191,193,0,719,207,212,0,559,158,156,0,0,0,0,0,0,0,0,0,398,111,112,0,0,0,0,0,0,0,0,0,0,0,0,0
1b05,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.12,140.33,1733.7,9.3717,15.238,10.451,21.729,198.04,1.4163,0,0,14,2985,773,1117,31,950,242,362,11,798,202,311,8,0,0,0,0,0,0,0,0,182,47,60,2,0,0,0,0,0,0,0,0,0,0,0,0
1b0h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.7,186.71,2379.4,11.719,66.766,11.773,34.464,363.75,1.7031,15.237,0,15,4893,1268,1854,59,958,244,387,11,800,205,324,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b11,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,7.39,80.143,1580.2,5.1013,43.694,5.6278,42.951,330.14,1.842,9.9675,0,13,3039,903,1113,40,433,124,156,5,678,191,242,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b1h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.03,187.63,2224.6,10.043,49.529,10.573,23.424,278.55,0.6088,5.015,0,16,4296,1142,1795,38,951,250,407,11,801,208,345,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b2h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,4.54,154.96,1933,10.111,24.329,11.664,22.904,235.36,0.75885,0,0,16,3371,885,1335,35,1124,293,451,12,803,203,333,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b32,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.1,159.32,1926.7,10.113,20.869,11.183,25.144,232.62,1.2453,0,0,16,3331,874,1348,34,949,242,389,11,790,203,329,8,0,0,0,0,0,0,0,0,190,51,70,2,0,0,0,0,0,0,0,0,0,0,0,0
1b38,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.6,119.42,1950.8,10.182,0,10.193,52.325,286.87,2.9049,0,0,8,1774,448,576,0,890,231,276,0,2207,541,775,0,0,0,0,0,529,126,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b39,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,6.92,123.4,1899.3,12.243,0,7.2393,48.67,288.11,2.1164,0,0,8,1773,449,561,0,868,226,270,0,2244,557,753,0,0,0,0,0,535,137,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3f,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.89,163.57,2071.1,11.474,20.542,12.147,27.319,265.84,1.308,0,0,15,3544,931,1418,38,1322,342,526,14,797,203,334,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3g,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.7,149.74,1898.8,9.8458,33.851,11.042,29.451,222.98,1.1075,0,0,15,3535,918,1387,37,957,246,378,11,790,200,322,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.21,163.85,2123.2,8.9468,40.458,9.9408,25.652,282.01,1.2112,1.7797,0,15,4048,1059,1609,40,963,247,391,11,796,204,324,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.89,121.11,1559.2,8.5003,14.866,10.772,19.024,154.6,1.1175,0,0,14,2654,689,987,29,894,227,333,11,741,195,280,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b40,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.28,161.02,2100.5,8.2132,47.841,10.408,28.791,281.41,1.7304,1.9631,0,15,4053,1043,1401,40,957,242,339,11,786,198,281,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b46,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.28,145.28,1874.4,8.0923,26.398,10.525,26.883,207.9,1.9591,0,0,13,3373,869,1353,35,959,238,389,11,807,202,330,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b4h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.46,147.66,1846.9,10.657,19.91,11.177,24.51,216.58,0.85579,0,0,15,3156,820,1250,33,1120,283,446,13,787,200,322,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b4z,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,5.23,154.92,1940.6,10.893,21.428,11.618,26.312,234.44,1.0958,0,0,14,3156,802,1275,34,951,239,390,11,1154,297,467,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b51,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.37,138.57,1758.6,9.0402,14.304,10.354,23.256,192.48,1.1656,0,0,14,2931,761,1183,31,939,239,380,11,968,244,389,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b52,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.12,138.59,1734.5,8.3153,18.704,10.808,24.151,213.22,0.9538,0,1.1848,14,3149,815,1127,33,945,243,343,11,954,245,365,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b55,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.4,114.18,1368.1,12.679,0,10.182,61.093,275.65,5.8636,0,0.86689,8,699,211,271,0,0,0,0,0,2108,604,752,0,0,0,0,0,484,136,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b57,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,8,94.394,776.82,11.631,0,11.007,0.57862,20.317,0,0,0,4,333,107,149,4,166,50,73,2,969,301,425,9,0,0,0,0,160,50,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b58,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.59,172.49,2166.2,9.1389,41.369,11.17,27.68,298.7,1.5123,0,0,15,4048,1046,1591,41,945,236,388,11,931,235,374,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b5h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.01,143.85,1781.3,10.483,15.42,10.545,22.282,193.06,1.0557,0,0,14,2990,773,1210,31,1141,292,448,13,796,202,333,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b5i,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.05,145.38,1888.6,8.932,20.876,10.438,26.483,240.76,1.0666,0,0,15,3142,813,1181,33,1117,287,425,13,971,248,376,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b5j,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.43,162.87,2011.9,11.139,27.333,11.852,30.524,255.04,1.3226,0,0,16,3388,876,1390,35,1133,290,459,13,994,257,415,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b6h,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,7.82,154.35,1871.2,9.6155,30.267,10.933,23.22,212.34,1.0561,0,0,15,3341,868,1367,36,951,247,396,11,792,202,333,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
